userID,artistID,weight,source_row_count
2,51,13883,1
2,52,11690,1
2,53,11351,1
2,54,10300,1
2,55,8983,1
2,56,6152,1
2,57,5955,1
2,58,4616,1
2,59,4337,1
2,60,4147,1
2,61,3923,1
2,62,3782,1
2,63,3735,1
2,64,3644,1
2,65,3579,1
2,66,3312,1
2,67,3301,1
2,68,2927,1
2,69,2720,1
2,70,2686,1
2,71,2654,1
2,72,2619,1
2,73,2584,1
2,74,2547,1
2,75,2397,1
2,76,2382,1
2,77,2120,1
2,78,2119,1
2,79,1990,1
2,80,1972,1
2,81,1948,1
2,82,1868,1
2,83,1792,1
2,84,1740,1
2,85,1638,1
2,86,1594,1
2,87,1559,1
2,88,1553,1
2,89,1519,1
2,90,1471,1
2,91,1438,1
2,92,1411,1
2,93,1407,1
2,94,1373,1
2,95,1363,1
2,96,1342,1
2,97,1337,1
2,98,1332,1
2,99,1330,1
2,100,1315,1
3,101,13176,1
3,102,662,1
3,103,493,1
3,104,431,1
3,105,403,1
3,106,354,1
3,107,269,1
3,108,236,1
3,109,215,1
3,110,215,1
3,111,212,1
3,112,193,1
3,113,187,1
3,114,167,1
3,115,163,1
3,116,154,1
3,117,151,1
3,118,142,1
3,119,142,1
3,120,125,1
3,121,111,1
3,122,108,1
3,123,104,1
3,124,99,1
3,125,98,1
3,126,94,1
3,127,89,1
3,128,89,1
3,129,86,1
3,130,85,1
3,131,84,1
3,132,83,1
3,133,83,1
3,134,77,1
3,135,77,1
3,136,76,1
3,137,75,1
3,138,72,1
3,139,72,1
3,140,71,1
3,141,70,1
3,142,70,1
3,143,70,1
3,144,69,1
3,145,68,1
3,146,67,1
3,147,67,1
3,148,66,1
3,149,66,1
3,150,65,1
4,51,228,1
4,53,686,1
4,64,420,1
4,65,301,1
4,70,389,1
4,72,4983,1
4,77,396,1
4,151,1807,1
4,152,1208,1
4,153,903,1
4,154,826,1
4,155,777,1
4,156,743,1
4,157,732,1
4,158,729,1
4,159,724,1
4,160,712,1
4,161,632,1
4,162,524,1
4,163,465,1
4,164,455,1
4,165,446,1
4,166,445,1
4,167,407,1
4,168,404,1
4,169,384,1
4,170,366,1
4,171,359,1
4,172,309,1
4,173,292,1
4,174,287,1
4,175,285,1
4,176,284,1
4,177,284,1
4,178,279,1
4,179,264,1
4,180,256,1
4,181,255,1
4,182,254,1
4,183,253,1
4,184,247,1
4,185,240,1
4,186,236,1
4,187,223,1
4,188,221,1
4,189,210,1
4,190,208,1
4,191,202,1
4,192,197,1
4,193,193,1
5,53,181,1
5,154,884,1
5,173,241,1
5,182,222,1
5,190,826,1
5,194,777,1
5,195,673,1
5,196,620,1
5,197,452,1
5,198,451,1
5,199,374,1
5,200,337,1
5,201,304,1
5,202,298,1
5,203,287,1
5,204,283,1
5,205,275,1
5,206,265,1
5,207,259,1
5,208,255,1
5,209,252,1
5,210,229,1
5,211,222,1
5,212,210,1
5,213,209,1
5,214,207,1
5,215,196,1
5,216,192,1
5,217,185,1
5,218,184,1
5,219,178,1
5,220,170,1
5,221,161,1
5,222,161,1
5,223,149,1
5,224,143,1
5,225,142,1
5,226,139,1
5,227,138,1
5,228,138,1
5,229,138,1
5,230,137,1
5,231,134,1
5,232,133,1
5,233,130,1
5,234,129,1
5,235,129,1
5,236,127,1
5,237,118,1
5,238,115,1
6,77,16,1
6,239,41,1
6,240,41,1
6,241,40,1
6,242,37,1
6,243,34,1
6,244,33,1
6,245,31,1
6,246,31,1
6,247,27,1
6,248,26,1
6,249,24,1
6,250,24,1
6,251,24,1
6,252,24,1
6,253,23,1
6,254,20,1
6,255,20,1
6,256,19,1
6,257,18,1
6,258,18,1
6,259,18,1
6,260,18,1
6,261,18,1
6,262,17,1
6,263,17,1
6,264,17,1
6,265,17,1
6,266,16,1
6,267,16,1
6,268,16,1
6,269,16,1
6,270,16,1
6,271,15,1
6,272,15,1
6,273,15,1
6,274,15,1
6,275,14,1
6,276,14,1
6,277,14,1
6,278,14,1
6,279,14,1
6,280,14,1
6,281,14,1
6,282,14,1
6,283,14,1
6,284,13,1
6,285,13,1
6,286,13,1
6,287,13,1
7,55,3151,1
7,67,2540,1
7,89,5846,1
7,257,5188,1
7,288,43864,1
7,289,11112,1
7,290,6266,1
7,291,5379,1
7,292,4201,1
7,293,4059,1
7,294,3251,1
7,295,2852,1
7,296,2356,1
7,297,1848,1
7,298,1802,1
7,299,1780,1
7,300,1747,1
7,301,1553,1
7,302,1490,1
7,303,1426,1
7,304,1312,1
7,305,1169,1
7,306,1164,1
7,307,1162,1
7,308,1082,1
7,309,1027,1
7,310,962,1
7,311,960,1
7,312,926,1
7,313,900,1
7,314,868,1
7,315,834,1
7,316,809,1
7,317,773,1
7,318,753,1
7,319,741,1
7,320,719,1
7,321,674,1
7,322,667,1
7,323,646,1
7,324,605,1
7,325,599,1
7,326,593,1
7,327,587,1
7,328,571,1
7,329,534,1
7,330,527,1
7,331,516,1
7,332,510,1
7,333,498,1
8,71,181,1
8,89,921,1
8,97,354,1
8,251,235,1
8,257,479,1
8,265,581,1
8,288,428,1
