artistID,canonical_name,source_name_repaired,source_name_raw,url,pictureURL,eligible_content_tag_count,has_content_profile
1,malice mizer,MALICE MIZER,MALICE MIZER,http://www.last.fm/music/MALICE+MIZER,http://userserve-ak.last.fm/serve/252/10808.jpg,7,True
2,diary of dreams,Diary of Dreams,Diary of Dreams,http://www.last.fm/music/Diary+of+Dreams,http://userserve-ak.last.fm/serve/252/3052066.jpg,10,True
3,carpathian forest,Carpathian Forest,Carpathian Forest,http://www.last.fm/music/Carpathian+Forest,http://userserve-ak.last.fm/serve/252/40222717.jpg,6,True
4,moi dix mois,Moi dix Mois,Moi dix Mois,http://www.last.fm/music/Moi+dix+Mois,http://userserve-ak.last.fm/serve/252/54697835.png,8,True
5,bella morte,Bella Morte,Bella Morte,http://www.last.fm/music/Bella+Morte,http://userserve-ak.last.fm/serve/252/14789013.jpg,5,True
6,moonspell,Moonspell,Moonspell,http://www.last.fm/music/Moonspell,http://userserve-ak.last.fm/serve/252/2181591.jpg,12,True
7,marilyn manson,Marilyn Manson,Marilyn Manson,http://www.last.fm/music/Marilyn+Manson,http://userserve-ak.last.fm/serve/252/2558217.jpg,51,True
8,dir en grey,DIR EN GREY,DIR EN GREY,http://www.last.fm/music/DIR+EN+GREY,http://userserve-ak.last.fm/serve/252/46968835.png,10,True
9,combichrist,Combichrist,Combichrist,http://www.last.fm/music/Combichrist,http://userserve-ak.last.fm/serve/252/51273485.jpg,20,True
10,grendel,Grendel,Grendel,http://www.last.fm/music/Grendel,http://userserve-ak.last.fm/serve/252/5872875.jpg,8,True
11,agonoize,Agonoize,Agonoize,http://www.last.fm/music/Agonoize,http://userserve-ak.last.fm/serve/252/31693309.jpg,7,True
12,behemoth,Behemoth,Behemoth,http://www.last.fm/music/Behemoth,http://userserve-ak.last.fm/serve/252/54196161.jpg,10,True
13,hocico,Hocico,Hocico,http://www.last.fm/music/Hocico,http://userserve-ak.last.fm/serve/252/34892635.jpg,8,True
15,dimmu borgir,Dimmu Borgir,Dimmu Borgir,http://www.last.fm/music/Dimmu+Borgir,http://userserve-ak.last.fm/serve/252/52216127.png,19,True
16,london after midnight,London After Midnight,London After Midnight,http://www.last.fm/music/London+After+Midnight,http://userserve-ak.last.fm/serve/252/5364091.jpg,10,True
