source_artistID,source_name,final_artistID,is_absorbed,survivor_source_name
1,MALICE MIZER,1,False,MALICE MIZER
2,Diary of Dreams,2,False,Diary of Dreams
3,Carpathian Forest,3,False,Carpathian Forest
4,Moi dix Mois,4,False,Moi dix Mois
5,Bella Morte,5,False,Bella Morte
6,Moonspell,6,False,Moonspell
7,Marilyn Manson,7,False,Marilyn Manson
8,DIR EN GREY,8,False,DIR EN GREY
9,Combichrist,9,False,Combichrist
10,Grendel,10,False,Grendel
11,Agonoize,11,False,Agonoize
12,Behemoth,12,False,Behemoth
13,Hocico,13,False,Hocico
15,Dimmu Borgir,15,False,Dimmu Borgir
16,London After Midnight,16,False,London After Midnight
17,Psyclon Nine,17,False,Psyclon Nine
18,The Crüxshadows,18,False,The Crüxshadows
19,:wumpscut:,19,False,:wumpscut:
20,Limbonic Art,20,False,Limbonic Art
21,Artista sconosciuto,21,False,Artista sconosciuto
22,xotox,22,False,xotox
23,The Kovenant,23,False,The Kovenant
24,Feindflug,24,False,Feindflug
25,Cradle of Filth,25,False,Cradle of Filth
26,Tamtrum,26,False,Tamtrum
27,Laibach,27,False,Laibach
28,Gorgoroth,28,False,Gorgoroth
30,And One,30,False,And One
31,Amduscia,31,False,Amduscia
32,Covenant,32,False,Covenant
34,Icon of Coil,34,False,Icon of Coil
36,KMFDM,36,False,KMFDM
37,Funker Vogt,37,False,Funker Vogt
38,Dawn of Ashes,38,False,Dawn of Ashes
39,Sopor Aeternus & The Ensemble of Shadows,39,False,Sopor Aeternus & The Ensemble of Shadows
40,The Faint,40,False,The Faint
41,God Module,41,False,God Module
43,Noisuf-X,43,False,Noisuf-X
44,Das Ich,44,False,Das Ich
45,Mindless Self Indulgence,45,False,Mindless Self Indulgence
46,Pyotr Ilyich Tchaikovsky,46,False,Pyotr Ilyich Tchaikovsky
47,Emperor,47,False,Emperor
48,Anorexia Nervosa,48,False,Anorexia Nervosa
49,Reaper,49,False,Reaper
50,Gothminister,50,False,Gothminister
51,Duran Duran,51,False,Duran Duran
52,Morcheeba,52,False,Morcheeba
53,Air,53,False,Air
54,Hooverphonic,54,False,Hooverphonic
55,Kylie Minogue,55,False,Kylie Minogue
